,Tenure,City_Tier,CC_Contacted_LY,Payment,Gender,Service_Score,Account_user_count,account_segment,CC_Agent_Score,Marital_Status,rev_per_month,Complain_ly,rev_growth_yoy,coupon_used_for_payment,Day_Since_CC_connect,cashback,Login_device
24,14.0,1.0,14.0,2,1,2.0,5.0,0,2.0,2,3.0,0.0,15.0,0.0,3.0,207.0,0
25,0.0,1.0,15.0,1,0,2.0,3.0,2,5.0,2,8.0,0.0,22.0,1.0,4.0,142.0,1
26,8.0,3.0,6.0,3,1,3.0,3.0,0,4.0,0,2.0,0.0,13.0,1.0,6.0,173.0,1
27,26.0,3.0,12.0,3,1,2.0,3.0,3,3.0,0,3.0,1.0,20.0,0.0,5.0,123.0,1
28,18.0,1.0,15.0,2,1,2.0,3.0,3,4.0,1,9.0,0.0,18.0,1.0,15.0,123.0,1
29,5.0,3.0,14.0,3,0,2.0,3.0,0,2.0,2,2.0,0.0,14.0,2.0,7.0,190.0,0
31,0.0,1.0,13.0,1,0,2.0,4.0,3,3.0,0,3.0,0.0,17.0,1.0,0.0,1974.0,1
32,30.0,1.0,15.0,1,0,3.0,4.0,2,4.0,0,5.0,1.0,20.0,1.0,0.0,133.0,1
33,13.0,3.0,10.0,3,1,3.0,4.0,0,2.0,0,8.0,0.0,11.0,2.0,11.0,209.0,1
35,0.0,1.0,25.0,1,1,3.0,3.0,2,2.0,0,2.0,0.0,24.0,0.0,2.0,123.0,1
36,0.0,1.0,15.0,1,1,2.0,3.0,2,4.0,1,7.0,0.0,18.0,0.0,2.0,120.0,0
37,1.0,1.0,27.0,1,1,2.0,3.0,2,2.0,0,2.0,0.0,11.0,0.0,2.0,127.0,1
40,23.0,1.0,17.0,2,0,2.0,3.0,1,4.0,2,4.0,0.0,15.0,2.0,4.0,299.0,1
41,14.0,1.0,20.0,2,1,2.0,3.0,2,3.0,1,5.0,0.0,12.0,1.0,8.0,125.0,1
42,3.0,3.0,11.0,2,0,2.0,3.0,0,2.0,0,3.0,0.0,12.0,2.0,4.0,194.0,1
44,5.0,1.0,12.0,2,1,2.0,3.0,2,3.0,2,4.0,0.0,20.0,0.0,4.0,130.0,1
45,0.0,1.0,23.0,0,1,2.0,3.0,2,4.0,0,1.0,1.0,16.0,1.0,1.0,131.0,1
46,0.0,3.0,6.0,0,0,3.0,5.0,2,5.0,2,1.0,0.0,21.0,1.0,0.0,123.0,0
47,9.0,1.0,9.0,1,1,1.0,3.0,2,4.0,2,5.0,0.0,12.0,4.0,2.0,121.0,0
48,3.0,1.0,15.0,1,1,3.0,3.0,3,5.0,1,2.0,0.0,11.0,0.0,10.0,131.0,0
50,29.0,1.0,14.0,2,0,3.0,3.0,2,5.0,1,5.0,1.0,18.0,1.0,2.0,143.0,1
52,0.0,1.0,8.0,2,1,2.0,4.0,2,2.0,2,2.0,0.0,22.0,0.0,0.0,111.0,1
54,99.0,1.0,15.0,2,0,3.0,3.0,2,2.0,2,2.0,0.0,12.0,1.0,1.0,123.0,1
55,4.0,1.0,18.0,1,0,3.0,3.0,2,2.0,0,9.0,1.0,23.0,1.0,2.0,139.0,1
56,7.0,1.0,33.0,1,0,3.0,3.0,2,4.0,2,3.0,0.0,15.0,1.0,2.0,123.0,1
57,4.0,3.0,26.0,3,0,3.0,3.0,2,4.0,2,2.0,1.0,22.0,0.0,2.0,131.0,1
59,26.0,1.0,19.0,1,0,2.0,2.0,3,5.0,1,2.0,0.0,11.0,1.0,3.0,145.0,1
61,13.0,1.0,10.0,1,0,2.0,3.0,1,3.0,0,2.0,0.0,14.0,0.0,9.0,290.0,1
62,28.0,1.0,20.0,1,1,3.0,2.0,1,4.0,2,9.0,0.0,11.0,0.0,15.0,287.0,1
63,7.0,1.0,8.0,2,1,2.0,4.0,3,3.0,0,2.0,0.0,17.0,0.0,9.0,195.0,0
64,24.0,1.0,9.0,1,0,3.0,3.0,4,4.0,2,4.0,0.0,18.0,0.0,0.0,237.0,1
67,0.0,1.0,29.0,2,1,2.0,4.0,3,3.0,0,4.0,1.0,13.0,1.0,1.0,159.0,1
68,16.0,1.0,13.0,1,1,2.0,2.0,2,2.0,1,5.0,0.0,14.0,0.0,2.0,121.0,0
69,18.0,1.0,8.0,1,1,3.0,4.0,4,2.0,0,130.0,0.0,23.0,9.0,8.0,268.0,0
70,10.0,1.0,27.0,2,1,3.0,2.0,2,5.0,0,2.0,1.0,12.0,0.0,7.0,136.0,1
71,8.0,1.0,8.0,1,0,2.0,3.0,3,4.0,2,6.0,0.0,11.0,1.0,2.0,144.0,0
72,15.0,1.0,27.0,1,0,2.0,3.0,3,3.0,1,3.0,0.0,16.0,0.0,2.0,153.0,0
73,11.0,1.0,8.0,2,1,2.0,3.0,3,3.0,0,10.0,0.0,14.0,0.0,0.0,166.0,1
74,11.0,1.0,35.0,0,1,2.0,3.0,3,2.0,0,4.0,0.0,18.0,0.0,7.0,163.0,1
76,22.0,1.0,24.0,2,1,3.0,3.0,3,2.0,1,2.0,1.0,15.0,0.0,7.0,168.0,0
77,7.0,1.0,16.0,1,1,2.0,3.0,2,3.0,1,2.0,1.0,17.0,2.0,0.0,138.0,0
78,13.0,1.0,25.0,1,1,2.0,3.0,3,2.0,0,9.0,1.0,15.0,1.0,7.0,127.0,1
80,0.0,3.0,33.0,3,0,2.0,3.0,0,2.0,0,2.0,0.0,22.0,1.0,9.0,176.0,1
81,0.0,1.0,11.0,2,1,2.0,2.0,2,4.0,1,2.0,1.0,16.0,0.0,2.0,123.0,1
83,13.0,1.0,15.0,2,1,3.0,4.0,3,2.0,0,10.0,0.0,14.0,1.0,2.0,149.0,0
85,0.0,3.0,10.0,1,1,2.0,5.0,0,2.0,0,2.0,0.0,11.0,7.0,8.0,204.0,1
87,99.0,3.0,26.0,2,0,2.0,3.0,3,3.0,2,2.0,0.0,14.0,1.0,7.0,200.0,0
89,0.0,1.0,9.0,0,0,2.0,3.0,2,5.0,2,6.0,1.0,11.0,1.0,4.0,127.0,1
90,14.0,3.0,12.0,2,0,3.0,3.0,0,2.0,2,4.0,1.0,18.0,0.0,0.0,236.0,1
91,0.0,3.0,32.0,3,0,2.0,4.0,3,5.0,2,6.0,0.0,15.0,0.0,1.0,167.0,0
93,18.0,3.0,12.0,1,0,2.0,4.0,0,2.0,2,7.0,0.0,12.0,12.0,8.0,189.0,0
94,27.0,3.0,9.0,3,0,2.0,3.0,3,5.0,0,3.0,0.0,14.0,1.0,5.0,159.0,1
95,9.0,1.0,11.0,2,1,3.0,3.0,3,4.0,2,9.0,0.0,16.0,0.0,7.0,159.0,1
96,6.0,1.0,10.0,1,0,2.0,4.0,2,4.0,0,7.0,0.0,21.0,0.0,1.0,126.0,1
97,10.0,1.0,17.0,4,1,2.0,3.0,0,2.0,1,2.0,1.0,14.0,0.0,7.0,222.0,0
98,11.0,3.0,9.0,2,1,3.0,3.0,0,3.0,1,1.0,0.0,12.0,1.0,13.0,206.0,1
99,4.0,1.0,6.0,1,1,2.0,5.0,3,3.0,0,1.0,0.0,12.0,1.0,4.0,143.0,0
100,30.0,1.0,9.0,2,1,3.0,4.0,2,2.0,0,4.0,0.0,17.0,0.0,0.0,122.0,1
104,0.0,1.0,24.0,1,1,2.0,4.0,2,2.0,2,2.0,1.0,13.0,0.0,1.0,124.0,1
105,25.0,1.0,8.0,2,0,2.0,4.0,2,2.0,2,8.0,0.0,15.0,0.0,2.0,132.0,1
106,15.0,1.0,10.0,0,1,2.0,3.0,1,2.0,0,2.0,0.0,11.0,0.0,15.0,292.0,1
107,30.0,2.0,12.0,1,1,2.0,3.0,2,3.0,0,9.0,0.0,17.0,2.0,2.0,123.0,1
108,23.0,3.0,6.0,1,0,3.0,3.0,1,2.0,1,4.0,0.0,11.0,1.0,6.0,295.0,1
109,0.0,1.0,20.0,1,1,2.0,3.0,2,2.0,0,6.0,1.0,13.0,0.0,4.0,124.0,1
111,0.0,1.0,8.0,2,0,2.0,3.0,2,5.0,0,8.0,0.0,20.0,1.0,7.0,127.0,1
112,25.0,3.0,8.0,2,1,3.0,4.0,1,3.0,2,2.0,1.0,18.0,7.0,12.0,291.0,0
113,5.0,3.0,10.0,2,0,2.0,3.0,2,4.0,0,3.0,0.0,11.0,1.0,2.0,139.0,1
114,0.0,1.0,6.0,2,1,3.0,4.0,2,3.0,2,1.0,1.0,14.0,1.0,2.0,137.0,1
115,12.0,1.0,6.0,1,0,3.0,3.0,2,3.0,1,8.0,0.0,14.0,0.0,2.0,122.0,1
117,14.0,1.0,25.0,2,1,2.0,3.0,3,5.0,1,3.0,0.0,16.0,1.0,0.0,131.0,1
118,13.0,1.0,30.0,0,1,3.0,3.0,3,2.0,1,2.0,0.0,17.0,2.0,7.0,133.0,1
119,18.0,1.0,6.0,4,0,3.0,2.0,1,2.0,0,1.0,0.0,11.0,1.0,7.0,1955.0,1
120,4.0,1.0,9.0,1,1,3.0,3.0,0,3.0,1,10.0,0.0,12.0,1.0,2.0,237.0,0
121,6.0,1.0,11.0,2,0,3.0,4.0,2,2.0,0,2.0,0.0,13.0,0.0,2.0,129.0,1
122,7.0,1.0,8.0,2,1,2.0,4.0,3,5.0,0,7.0,0.0,13.0,0.0,9.0,160.0,1
123,10.0,1.0,6.0,1,0,2.0,4.0,2,5.0,0,3.0,0.0,14.0,1.0,2.0,139.0,1
124,18.0,1.0,13.0,2,1,3.0,2.0,3,3.0,0,5.0,0.0,17.0,0.0,2.0,164.0,0
125,0.0,1.0,16.0,1,1,3.0,3.0,0,3.0,1,7.0,0.0,11.0,1.0,0.0,200.0,0
126,12.0,1.0,8.0,0,0,3.0,3.0,0,3.0,2,1.0,0.0,25.0,10.0,8.0,209.0,0
127,2.0,1.0,21.0,2,1,2.0,3.0,2,2.0,2,2.0,0.0,19.0,0.0,5.0,123.0,1
129,2.0,3.0,26.0,3,1,2.0,3.0,3,2.0,1,3.0,0.0,14.0,1.0,2.0,169.0,1
130,0.0,1.0,6.0,2,0,3.0,3.0,3,3.0,0,1.0,0.0,12.0,1.0,2.0,149.0,1
131,15.0,1.0,8.0,1,0,2.0,4.0,2,5.0,1,1.0,1.0,11.0,4.0,8.0,126.0,1
132,13.0,1.0,8.0,1,1,2.0,3.0,1,3.0,1,1.0,0.0,19.0,0.0,9.0,294.0,1
133,24.0,1.0,6.0,2,1,3.0,3.0,2,2.0,0,2.0,0.0,11.0,1.0,0.0,127.0,1
134,0.0,1.0,35.0,1,1,3.0,4.0,2,4.0,2,1.0,0.0,11.0,1.0,4.0,135.0,0
136,11.0,3.0,8.0,2,1,2.0,4.0,3,2.0,0,4.0,0.0,18.0,6.0,5.0,152.0,0
137,5.0,1.0,8.0,0,1,2.0,4.0,3,5.0,2,5.0,0.0,13.0,0.0,4.0,122.0,1
138,19.0,3.0,8.0,0,0,3.0,5.0,4,4.0,0,4.0,1.0,12.0,6.0,7.0,269.0,1
140,2.0,3.0,8.0,1,1,3.0,4.0,3,4.0,0,3.0,0.0,19.0,0.0,0.0,166.0,1
141,4.0,1.0,29.0,1,1,3.0,4.0,3,2.0,0,1.0,0.0,21.0,1.0,8.0,156.0,1
144,9.0,1.0,12.0,2,1,2.0,3.0,2,2.0,0,1.0,0.0,11.0,4.0,11.0,132.0,1
145,28.0,1.0,6.0,1,1,2.0,3.0,1,5.0,2,1.0,1.0,14.0,4.0,13.0,290.0,1
146,10.0,1.0,35.0,2,1,2.0,3.0,0,4.0,0,2.0,1.0,12.0,5.0,9.0,218.0,0
147,1.0,1.0,15.0,1,1,3.0,3.0,2,2.0,0,2.0,0.0,23.0,1.0,4.0,121.0,1
148,10.0,3.0,12.0,1,1,3.0,3.0,3,2.0,0,5.0,0.0,14.0,0.0,1.0,165.0,1
149,0.0,1.0,9.0,1,1,3.0,4.0,2,3.0,2,2.0,0.0,17.0,1.0,0.0,132.0,1
150,10.0,1.0,6.0,1,0,0.0,3.0,0,2.0,1,3.0,1.0,18.0,0.0,2.0,236.0,0
151,2.0,1.0,28.0,2,0,3.0,2.0,0,4.0,1,8.0,0.0,18.0,5.0,2.0,220.0,1
152,11.0,3.0,13.0,1,0,2.0,2.0,3,5.0,1,2.0,1.0,24.0,0.0,7.0,156.0,1
153,0.0,1.0,6.0,2,0,2.0,3.0,3,4.0,1,2.0,0.0,20.0,0.0,4.0,164.0,0
154,23.0,1.0,10.0,2,1,3.0,3.0,1,4.0,1,4.0,0.0,14.0,1.0,6.0,291.0,1
155,26.0,1.0,9.0,1,1,2.0,3.0,4,3.0,0,4.0,1.0,16.0,0.0,3.0,276.0,1
156,15.0,3.0,6.0,2,1,2.0,3.0,3,3.0,0,2.0,0.0,25.0,4.0,6.0,149.0,1
157,2.0,3.0,8.0,2,1,2.0,3.0,3,2.0,2,2.0,0.0,18.0,0.0,9.0,146.0,0
159,0.0,1.0,17.0,1,1,2.0,3.0,3,5.0,0,2.0,1.0,13.0,2.0,3.0,147.0,0
160,10.0,1.0,6.0,2,0,2.0,3.0,2,2.0,2,2.0,0.0,12.0,1.0,7.0,121.0,1
161,7.0,1.0,30.0,2,1,2.0,3.0,2,3.0,1,4.0,1.0,22.0,0.0,0.0,132.0,0
162,11.0,1.0,29.0,2,1,2.0,3.0,3,2.0,1,10.0,0.0,14.0,0.0,2.0,157.0,1
163,0.0,1.0,22.0,1,1,2.0,3.0,2,4.0,1,3.0,1.0,13.0,1.0,2.0,124.0,1
164,1.0,1.0,14.0,2,0,3.0,3.0,2,2.0,2,2.0,0.0,21.0,0.0,2.0,133.0,1
165,22.0,1.0,16.0,2,0,2.0,3.0,1,5.0,2,10.0,1.0,11.0,0.0,2.0,287.0,0
168,0.0,3.0,10.0,3,1,2.0,4.0,3,2.0,2,2.0,1.0,12.0,7.0,4.0,158.0,1
171,0.0,1.0,9.0,2,1,2.0,3.0,2,3.0,2,2.0,0.0,13.0,0.0,0.0,114.0,1
173,9.0,1.0,24.0,2,1,2.0,2.0,2,2.0,0,5.0,0.0,18.0,0.0,0.0,137.0,0
174,24.0,1.0,8.0,1,1,2.0,5.0,3,4.0,1,6.0,0.0,18.0,0.0,2.0,155.0,1
175,14.0,3.0,8.0,2,1,2.0,3.0,4,4.0,2,2.0,0.0,19.0,1.0,4.0,260.0,1
176,0.0,3.0,16.0,1,0,3.0,4.0,2,3.0,2,2.0,0.0,12.0,1.0,0.0,112.0,1
177,1.0,1.0,22.0,1,1,3.0,2.0,3,5.0,2,1.0,0.0,19.0,0.0,7.0,157.0,1
178,4.0,3.0,13.0,0,1,3.0,2.0,3,2.0,0,5.0,0.0,11.0,3.0,7.0,169.0,1
179,12.0,1.0,6.0,1,1,2.0,2.0,0,2.0,1,1.0,0.0,17.0,3.0,7.0,196.0,1
180,9.0,1.0,30.0,2,0,2.0,3.0,3,4.0,0,8.0,0.0,15.0,0.0,8.0,157.0,0
181,5.0,3.0,13.0,2,1,3.0,4.0,3,3.0,0,2.0,0.0,14.0,1.0,8.0,155.0,1
182,11.0,1.0,31.0,2,0,2.0,4.0,0,4.0,0,4.0,0.0,17.0,1.0,1.0,221.0,1
185,4.0,2.0,8.0,4,1,3.0,4.0,3,5.0,0,4.0,0.0,12.0,0.0,0.0,164.0,1
186,18.0,1.0,13.0,2,1,3.0,3.0,0,5.0,1,2.0,0.0,18.0,5.0,11.0,152.0,0
187,4.0,1.0,8.0,2,1,2.0,3.0,2,2.0,1,1.0,1.0,18.0,1.0,2.0,127.0,1
188,6.0,1.0,11.0,2,0,3.0,3.0,0,4.0,0,7.0,0.0,11.0,2.0,8.0,219.0,0
189,12.0,1.0,16.0,1,1,2.0,3.0,4,5.0,0,2.0,1.0,14.0,11.0,10.0,271.0,1
190,16.0,1.0,16.0,2,0,2.0,3.0,2,2.0,2,1.0,0.0,19.0,0.0,7.0,125.0,0
191,22.0,1.0,6.0,0,0,2.0,4.0,4,3.0,2,8.0,1.0,12.0,1.0,7.0,1813.0,1
192,15.0,1.0,14.0,1,1,2.0,4.0,3,4.0,0,3.0,0.0,15.0,7.0,7.0,149.0,1
193,0.0,1.0,11.0,2,0,2.0,3.0,2,4.0,2,2.0,1.0,12.0,0.0,2.0,125.0,1
194,5.0,3.0,14.0,0,0,3.0,4.0,3,4.0,0,2.0,1.0,11.0,6.0,9.0,152.0,1
195,0.0,3.0,8.0,2,1,3.0,3.0,3,3.0,2,2.0,1.0,11.0,1.0,4.0,145.0,1
196,4.0,3.0,13.0,3,1,3.0,3.0,3,2.0,1,5.0,0.0,12.0,0.0,7.0,175.0,1
197,5.0,1.0,8.0,1,0,3.0,2.0,3,2.0,2,8.0,0.0,16.0,1.0,7.0,151.0,1
198,0.0,1.0,8.0,1,1,2.0,5.0,2,2.0,0,6.0,1.0,13.0,2.0,2.0,135.0,1
200,4.0,1.0,13.0,2,0,2.0,4.0,0,3.0,0,2.0,0.0,24.0,3.0,9.0,189.0,0
202,2.0,3.0,9.0,1,0,2.0,3.0,3,3.0,0,5.0,1.0,18.0,1.0,0.0,152.0,1
203,6.0,3.0,16.0,3,1,2.0,4.0,3,2.0,2,4.0,0.0,14.0,1.0,1.0,147.0,0
204,20.0,1.0,11.0,2,1,2.0,3.0,1,3.0,0,5.0,0.0,11.0,0.0,1.0,283.0,1
205,99.0,1.0,16.0,2,0,2.0,4.0,3,3.0,1,2.0,0.0,11.0,0.0,0.0,153.0,0
209,18.0,1.0,14.0,4,1,3.0,3.0,3,2.0,0,10.0,0.0,14.0,7.0,8.0,137.0,1
210,13.0,3.0,6.0,1,1,2.0,5.0,3,2.0,0,3.0,1.0,22.0,1.0,2.0,175.0,1
211,0.0,1.0,14.0,4,1,3.0,5.0,2,5.0,0,2.0,1.0,11.0,1.0,7.0,121.0,1
212,2.0,1.0,15.0,4,1,1.0,4.0,2,2.0,2,1.0,0.0,17.0,2.0,2.0,140.0,1
213,3.0,3.0,11.0,3,0,1.0,4.0,3,3.0,1,2.0,0.0,13.0,0.0,2.0,161.0,1
214,0.0,3.0,14.0,3,0,2.0,3.0,3,4.0,0,2.0,0.0,18.0,0.0,7.0,162.0,1
217,4.0,1.0,13.0,1,0,2.0,3.0,0,2.0,2,2.0,1.0,14.0,2.0,10.0,171.0,1
218,2.0,3.0,16.0,3,0,2.0,4.0,3,4.0,1,2.0,1.0,14.0,0.0,7.0,183.0,1
220,0.0,1.0,32.0,2,1,2.0,3.0,2,2.0,1,2.0,0.0,12.0,1.0,2.0,129.0,1
221,14.0,1.0,12.0,1,1,3.0,4.0,3,4.0,2,7.0,1.0,15.0,1.0,2.0,160.0,1
222,20.0,3.0,10.0,1,1,2.0,3.0,3,3.0,2,4.0,0.0,19.0,0.0,0.0,130.0,0
223,15.0,1.0,29.0,2,0,2.0,3.0,4,2.0,2,3.0,0.0,14.0,0.0,0.0,260.0,1
225,15.0,2.0,8.0,0,1,2.0,3.0,2,3.0,1,1.0,1.0,11.0,1.0,0.0,127.0,1
226,5.0,1.0,8.0,1,0,3.0,3.0,2,4.0,0,2.0,0.0,13.0,0.0,7.0,1862.0,1
227,21.0,3.0,35.0,1,0,3.0,3.0,0,3.0,0,4.0,0.0,21.0,0.0,0.0,225.0,1
228,10.0,1.0,12.0,1,1,2.0,2.0,3,5.0,1,5.0,1.0,13.0,2.0,7.0,160.0,1
231,15.0,1.0,8.0,4,1,3.0,4.0,3,2.0,2,4.0,0.0,23.0,0.0,0.0,168.0,1
232,0.0,3.0,6.0,0,0,2.0,4.0,2,4.0,2,2.0,1.0,11.0,1.0,2.0,122.0,0
233,9.0,3.0,6.0,1,0,2.0,3.0,3,2.0,2,5.0,0.0,15.0,1.0,0.0,167.0,0
234,99.0,3.0,9.0,1,1,2.0,4.0,0,2.0,0,5.0,0.0,11.0,0.0,12.0,197.0,0
235,30.0,1.0,6.0,1,1,2.0,3.0,3,3.0,0,3.0,0.0,11.0,1.0,2.0,168.0,1
237,0.0,3.0,15.0,1,1,2.0,3.0,2,2.0,2,2.0,0.0,24.0,0.0,2.0,126.0,0
238,0.0,3.0,11.0,3,0,2.0,3.0,2,3.0,2,2.0,1.0,13.0,1.0,0.0,129.0,1
239,10.0,1.0,16.0,1,0,3.0,3.0,2,5.0,0,7.0,0.0,20.0,1.0,3.0,135.0,1
242,23.0,1.0,16.0,0,1,3.0,4.0,0,2.0,2,7.0,0.0,15.0,0.0,3.0,205.0,1
246,2.0,1.0,29.0,2,1,2.0,3.0,2,2.0,2,10.0,0.0,16.0,1.0,2.0,122.0,1
247,8.0,1.0,15.0,2,1,3.0,4.0,3,4.0,2,10.0,0.0,19.0,1.0,0.0,165.0,1
248,0.0,1.0,6.0,1,1,2.0,3.0,2,4.0,1,2.0,0.0,11.0,0.0,4.0,138.0,1
249,1.0,3.0,15.0,2,1,3.0,3.0,3,2.0,2,2.0,0.0,16.0,1.0,7.0,153.0,1
250,22.0,1.0,13.0,4,1,2.0,4.0,0,3.0,2,9.0,0.0,24.0,1.0,0.0,145.0,1
253,0.0,3.0,25.0,3,1,3.0,2.0,3,2.0,2,9.0,1.0,13.0,1.0,4.0,153.0,0
254,28.0,1.0,8.0,2,0,3.0,3.0,4,2.0,2,3.0,1.0,13.0,0.0,2.0,267.0,1
255,0.0,3.0,16.0,3,0,3.0,3.0,3,3.0,1,2.0,1.0,12.0,0.0,3.0,143.0,1
257,0.0,1.0,9.0,0,1,3.0,3.0,2,5.0,2,1.0,0.0,22.0,0.0,4.0,131.0,0
258,0.0,1.0,17.0,1,0,2.0,3.0,2,4.0,0,2.0,0.0,13.0,1.0,2.0,122.0,1
260,0.0,1.0,10.0,0,1,2.0,3.0,2,2.0,2,19.0,1.0,23.0,1.0,0.0,123.0,0
261,10.0,1.0,20.0,2,0,3.0,3.0,2,5.0,1,2.0,0.0,12.0,3.0,17.0,130.0,1
262,13.0,3.0,8.0,3,0,2.0,3.0,3,4.0,1,8.0,0.0,12.0,0.0,3.0,157.0,1
263,15.0,1.0,6.0,2,0,3.0,3.0,2,5.0,1,4.0,0.0,16.0,1.0,2.0,126.0,1
264,10.0,1.0,16.0,2,1,2.0,3.0,3,4.0,2,3.0,1.0,12.0,0.0,1.0,142.0,1
265,16.0,1.0,18.0,2,1,2.0,4.0,4,4.0,1,2.0,0.0,11.0,0.0,9.0,243.0,1
266,13.0,1.0,8.0,1,0,3.0,4.0,3,3.0,0,7.0,0.0,22.0,1.0,0.0,134.0,1
267,27.0,1.0,11.0,1,1,2.0,3.0,1,5.0,0,5.0,0.0,11.0,1.0,2.0,294.0,1
268,7.0,3.0,10.0,3,0,3.0,3.0,3,3.0,0,10.0,0.0,15.0,1.0,2.0,165.0,0
269,4.0,1.0,13.0,1,0,2.0,3.0,3,5.0,0,2.0,0.0,12.0,3.0,12.0,143.0,1
270,16.0,1.0,27.0,1,1,3.0,3.0,2,2.0,0,139.0,0.0,20.0,0.0,2.0,123.0,0
271,16.0,1.0,14.0,4,0,3.0,3.0,3,3.0,1,5.0,1.0,14.0,0.0,2.0,145.0,1
272,0.0,3.0,10.0,2,0,2.0,4.0,3,2.0,2,2.0,1.0,11.0,0.0,3.0,145.0,1
274,4.0,1.0,6.0,2,1,3.0,4.0,2,5.0,0,2.0,0.0,12.0,0.0,2.0,122.0,1
275,12.0,1.0,6.0,2,1,2.0,3.0,1,3.0,1,2.0,1.0,14.0,0.0,6.0,292.0,0
276,29.0,3.0,12.0,2,0,2.0,2.0,4,5.0,0,10.0,0.0,11.0,2.0,7.0,1982.0,0
278,14.0,3.0,6.0,3,1,2.0,2.0,0,5.0,0,2.0,0.0,16.0,1.0,7.0,184.0,1
279,1.0,1.0,23.0,1,1,3.0,3.0,3,5.0,1,2.0,0.0,12.0,0.0,8.0,146.0,1
280,0.0,1.0,9.0,1,1,3.0,3.0,2,5.0,0,6.0,0.0,13.0,1.0,2.0,140.0,1
281,25.0,1.0,9.0,1,1,2.0,4.0,0,3.0,0,3.0,1.0,14.0,0.0,4.0,180.0,1
284,15.0,1.0,35.0,2,0,3.0,3.0,3,3.0,1,3.0,0.0,11.0,1.0,2.0,146.0,0
285,3.0,1.0,8.0,2,0,2.0,5.0,3,2.0,2,3.0,0.0,20.0,0.0,2.0,161.0,1
286,30.0,1.0,13.0,2,0,2.0,3.0,1,5.0,0,6.0,0.0,11.0,0.0,10.0,296.0,1
287,19.0,1.0,24.0,1,0,2.0,3.0,3,3.0,1,3.0,0.0,14.0,0.0,8.0,148.0,1
288,15.0,1.0,34.0,0,0,2.0,4.0,3,2.0,0,1.0,0.0,11.0,0.0,4.0,145.0,0
289,0.0,3.0,6.0,0,0,3.0,3.0,2,4.0,2,2.0,1.0,16.0,1.0,4.0,132.0,1
292,13.0,3.0,8.0,2,0,3.0,3.0,1,3.0,0,1.0,0.0,14.0,0.0,12.0,280.0,1
293,0.0,1.0,29.0,2,0,2.0,3.0,2,2.0,1,2.0,0.0,22.0,1.0,2.0,129.0,1
294,3.0,1.0,9.0,2,1,2.0,3.0,2,2.0,0,5.0,0.0,15.0,0.0,4.0,121.0,0
295,2.0,1.0,9.0,1,1,3.0,4.0,0,3.0,0,2.0,0.0,18.0,1.0,7.0,219.0,1
296,0.0,1.0,31.0,0,0,3.0,4.0,2,4.0,0,6.0,0.0,16.0,0.0,1.0,125.0,1
297,0.0,2.0,8.0,0,1,2.0,4.0,2,2.0,2,2.0,0.0,12.0,1.0,0.0,126.0,1
300,23.0,1.0,35.0,2,1,2.0,4.0,4,3.0,0,1.0,0.0,15.0,11.0,7.0,270.0,1
301,3.0,1.0,8.0,1,0,2.0,3.0,2,2.0,2,1.0,0.0,14.0,5.0,7.0,126.0,0
302,30.0,3.0,34.0,3,0,3.0,4.0,0,5.0,0,5.0,0.0,19.0,13.0,11.0,203.0,0
