,Churn,Tenure,City_Tier,CC_Contacted_LY,Payment,Gender,Service_Score,Account_user_count,account_segment,CC_Agent_Score,Marital_Status,rev_per_month,Complain_ly,rev_growth_yoy,coupon_used_for_payment,Day_Since_CC_connect,cashback,Login_device
32,0,30.0,1.0,15.0,1,0,3.0,4.0,2,4.0,0,5.0,1.0,20.0,1.0,0.0,133.0,1
33,0,13.0,3.0,10.0,3,1,3.0,4.0,0,2.0,0,8.0,0.0,11.0,2.0,11.0,209.0,1
35,0,0.0,1.0,25.0,1,1,3.0,3.0,2,2.0,0,2.0,0.0,24.0,0.0,2.0,123.0,1
36,0,0.0,1.0,15.0,1,1,2.0,3.0,2,4.0,1,7.0,0.0,18.0,0.0,2.0,120.0,0
37,0,1.0,1.0,27.0,1,1,2.0,3.0,2,2.0,0,2.0,0.0,11.0,0.0,2.0,127.0,1
40,0,23.0,1.0,17.0,2,0,2.0,3.0,1,4.0,2,4.0,0.0,15.0,2.0,4.0,299.0,1
41,0,14.0,1.0,20.0,2,1,2.0,3.0,2,3.0,1,5.0,0.0,12.0,1.0,8.0,125.0,1
42,0,3.0,3.0,11.0,2,0,2.0,3.0,0,2.0,0,3.0,0.0,12.0,2.0,4.0,194.0,1
44,0,5.0,1.0,12.0,2,1,2.0,3.0,2,3.0,2,4.0,0.0,20.0,0.0,4.0,130.0,1
45,0,0.0,1.0,23.0,0,1,2.0,3.0,2,4.0,0,1.0,1.0,16.0,1.0,1.0,131.0,1
46,1,0.0,3.0,6.0,0,0,3.0,5.0,2,5.0,2,1.0,0.0,21.0,1.0,0.0,123.0,0
47,0,9.0,1.0,9.0,1,1,1.0,3.0,2,4.0,2,5.0,0.0,12.0,4.0,2.0,121.0,0
48,0,3.0,1.0,15.0,1,1,3.0,3.0,3,5.0,1,2.0,0.0,11.0,0.0,10.0,131.0,0
50,0,29.0,1.0,14.0,2,0,3.0,3.0,2,5.0,1,5.0,1.0,18.0,1.0,2.0,143.0,1
52,1,0.0,1.0,8.0,2,1,2.0,4.0,2,2.0,2,2.0,0.0,22.0,0.0,0.0,111.0,1
54,0,99.0,1.0,15.0,2,0,3.0,3.0,2,2.0,2,2.0,0.0,12.0,1.0,1.0,123.0,1
55,0,4.0,1.0,18.0,1,0,3.0,3.0,2,2.0,0,9.0,1.0,23.0,1.0,2.0,139.0,1
56,0,7.0,1.0,33.0,1,0,3.0,3.0,2,4.0,2,3.0,0.0,15.0,1.0,2.0,123.0,1
57,1,4.0,3.0,26.0,3,0,3.0,3.0,2,4.0,2,2.0,1.0,22.0,0.0,2.0,131.0,1
59,0,26.0,1.0,19.0,1,0,2.0,2.0,3,5.0,1,2.0,0.0,11.0,1.0,3.0,145.0,1
61,0,13.0,1.0,10.0,1,0,2.0,3.0,1,3.0,0,2.0,0.0,14.0,0.0,9.0,290.0,1
62,0,28.0,1.0,20.0,1,1,3.0,2.0,1,4.0,2,9.0,0.0,11.0,0.0,15.0,287.0,1
63,0,7.0,1.0,8.0,2,1,2.0,4.0,3,3.0,0,2.0,0.0,17.0,0.0,9.0,195.0,0
64,0,24.0,1.0,9.0,1,0,3.0,3.0,4,4.0,2,4.0,0.0,18.0,0.0,0.0,237.0,1
67,1,0.0,1.0,29.0,2,1,2.0,4.0,3,3.0,0,4.0,1.0,13.0,1.0,1.0,159.0,1
68,0,16.0,1.0,13.0,1,1,2.0,2.0,2,2.0,1,5.0,0.0,14.0,0.0,2.0,121.0,0
69,0,18.0,1.0,8.0,1,1,3.0,4.0,4,2.0,0,130.0,0.0,23.0,9.0,8.0,268.0,0
70,0,10.0,1.0,27.0,2,1,3.0,2.0,2,5.0,0,2.0,1.0,12.0,0.0,7.0,136.0,1
71,0,8.0,1.0,8.0,1,0,2.0,3.0,3,4.0,2,6.0,0.0,11.0,1.0,2.0,144.0,0
72,0,15.0,1.0,27.0,1,0,2.0,3.0,3,3.0,1,3.0,0.0,16.0,0.0,2.0,153.0,0
73,0,11.0,1.0,8.0,2,1,2.0,3.0,3,3.0,0,10.0,0.0,14.0,0.0,0.0,166.0,1
74,0,11.0,1.0,35.0,0,1,2.0,3.0,3,2.0,0,4.0,0.0,18.0,0.0,7.0,163.0,1
76,0,22.0,1.0,24.0,2,1,3.0,3.0,3,2.0,1,2.0,1.0,15.0,0.0,7.0,168.0,0
77,0,7.0,1.0,16.0,1,1,2.0,3.0,2,3.0,1,2.0,1.0,17.0,2.0,0.0,138.0,0
78,0,13.0,1.0,25.0,1,1,2.0,3.0,3,2.0,0,9.0,1.0,15.0,1.0,7.0,127.0,1
80,1,0.0,3.0,33.0,3,0,2.0,3.0,0,2.0,0,2.0,0.0,22.0,1.0,9.0,176.0,1
81,0,0.0,1.0,11.0,2,1,2.0,2.0,2,4.0,1,2.0,1.0,16.0,0.0,2.0,123.0,1
83,0,13.0,1.0,15.0,2,1,3.0,4.0,3,2.0,0,10.0,0.0,14.0,1.0,2.0,149.0,0
85,1,0.0,3.0,10.0,1,1,2.0,5.0,0,2.0,0,2.0,0.0,11.0,7.0,8.0,204.0,1
87,0,99.0,3.0,26.0,2,0,2.0,3.0,3,3.0,2,2.0,0.0,14.0,1.0,7.0,200.0,0
89,1,0.0,1.0,9.0,0,0,2.0,3.0,2,5.0,2,6.0,1.0,11.0,1.0,4.0,127.0,1
90,0,14.0,3.0,12.0,2,0,3.0,3.0,0,2.0,2,4.0,1.0,18.0,0.0,0.0,236.0,1
91,1,0.0,3.0,32.0,3,0,2.0,4.0,3,5.0,2,6.0,0.0,15.0,0.0,1.0,167.0,0
93,0,18.0,3.0,12.0,1,0,2.0,4.0,0,2.0,2,7.0,0.0,12.0,12.0,8.0,189.0,0
94,0,27.0,3.0,9.0,3,0,2.0,3.0,3,5.0,0,3.0,0.0,14.0,1.0,5.0,159.0,1
95,0,9.0,1.0,11.0,2,1,3.0,3.0,3,4.0,2,9.0,0.0,16.0,0.0,7.0,159.0,1
96,0,6.0,1.0,10.0,1,0,2.0,4.0,2,4.0,0,7.0,0.0,21.0,0.0,1.0,126.0,1
97,0,10.0,1.0,17.0,4,1,2.0,3.0,0,2.0,1,2.0,1.0,14.0,0.0,7.0,222.0,0
98,0,11.0,3.0,9.0,2,1,3.0,3.0,0,3.0,1,1.0,0.0,12.0,1.0,13.0,206.0,1
99,0,4.0,1.0,6.0,1,1,2.0,5.0,3,3.0,0,1.0,0.0,12.0,1.0,4.0,143.0,0
100,0,30.0,1.0,9.0,2,1,3.0,4.0,2,2.0,0,4.0,0.0,17.0,0.0,0.0,122.0,1
104,1,0.0,1.0,24.0,1,1,2.0,4.0,2,2.0,2,2.0,1.0,13.0,0.0,1.0,124.0,1
105,0,25.0,1.0,8.0,2,0,2.0,4.0,2,2.0,2,8.0,0.0,15.0,0.0,2.0,132.0,1
106,0,15.0,1.0,10.0,0,1,2.0,3.0,1,2.0,0,2.0,0.0,11.0,0.0,15.0,292.0,1
107,0,30.0,2.0,12.0,1,1,2.0,3.0,2,3.0,0,9.0,0.0,17.0,2.0,2.0,123.0,1
108,0,23.0,3.0,6.0,1,0,3.0,3.0,1,2.0,1,4.0,0.0,11.0,1.0,6.0,295.0,1
109,1,0.0,1.0,20.0,1,1,2.0,3.0,2,2.0,0,6.0,1.0,13.0,0.0,4.0,124.0,1
111,1,0.0,1.0,8.0,2,0,2.0,3.0,2,5.0,0,8.0,0.0,20.0,1.0,7.0,127.0,1
112,0,25.0,3.0,8.0,2,1,3.0,4.0,1,3.0,2,2.0,1.0,18.0,7.0,12.0,291.0,0
113,0,5.0,3.0,10.0,2,0,2.0,3.0,2,4.0,0,3.0,0.0,11.0,1.0,2.0,139.0,1
114,1,0.0,1.0,6.0,2,1,3.0,4.0,2,3.0,2,1.0,1.0,14.0,1.0,2.0,137.0,1
115,0,12.0,1.0,6.0,1,0,3.0,3.0,2,3.0,1,8.0,0.0,14.0,0.0,2.0,122.0,1
117,0,14.0,1.0,25.0,2,1,2.0,3.0,3,5.0,1,3.0,0.0,16.0,1.0,0.0,131.0,1
118,0,13.0,1.0,30.0,0,1,3.0,3.0,3,2.0,1,2.0,0.0,17.0,2.0,7.0,133.0,1
119,0,18.0,1.0,6.0,4,0,3.0,2.0,1,2.0,0,1.0,0.0,11.0,1.0,7.0,1955.0,1
120,0,4.0,1.0,9.0,1,1,3.0,3.0,0,3.0,1,10.0,0.0,12.0,1.0,2.0,237.0,0
121,0,6.0,1.0,11.0,2,0,3.0,4.0,2,2.0,0,2.0,0.0,13.0,0.0,2.0,129.0,1
122,0,7.0,1.0,8.0,2,1,2.0,4.0,3,5.0,0,7.0,0.0,13.0,0.0,9.0,160.0,1
123,0,10.0,1.0,6.0,1,0,2.0,4.0,2,5.0,0,3.0,0.0,14.0,1.0,2.0,139.0,1
124,0,18.0,1.0,13.0,2,1,3.0,2.0,3,3.0,0,5.0,0.0,17.0,0.0,2.0,164.0,0
125,1,0.0,1.0,16.0,1,1,3.0,3.0,0,3.0,1,7.0,0.0,11.0,1.0,0.0,200.0,0
126,0,12.0,1.0,8.0,0,0,3.0,3.0,0,3.0,2,1.0,0.0,25.0,10.0,8.0,209.0,0
127,0,2.0,1.0,21.0,2,1,2.0,3.0,2,2.0,2,2.0,0.0,19.0,0.0,5.0,123.0,1
129,0,2.0,3.0,26.0,3,1,2.0,3.0,3,2.0,1,3.0,0.0,14.0,1.0,2.0,169.0,1
130,0,0.0,1.0,6.0,2,0,3.0,3.0,3,3.0,0,1.0,0.0,12.0,1.0,2.0,149.0,1
131,0,15.0,1.0,8.0,1,0,2.0,4.0,2,5.0,1,1.0,1.0,11.0,4.0,8.0,126.0,1
132,0,13.0,1.0,8.0,1,1,2.0,3.0,1,3.0,1,1.0,0.0,19.0,0.0,9.0,294.0,1
133,0,24.0,1.0,6.0,2,1,3.0,3.0,2,2.0,0,2.0,0.0,11.0,1.0,0.0,127.0,1
134,1,0.0,1.0,35.0,1,1,3.0,4.0,2,4.0,2,1.0,0.0,11.0,1.0,4.0,135.0,0
136,0,11.0,3.0,8.0,2,1,2.0,4.0,3,2.0,0,4.0,0.0,18.0,6.0,5.0,152.0,0
137,0,5.0,1.0,8.0,0,1,2.0,4.0,3,5.0,2,5.0,0.0,13.0,0.0,4.0,122.0,1
138,0,19.0,3.0,8.0,0,0,3.0,5.0,4,4.0,0,4.0,1.0,12.0,6.0,7.0,269.0,1
140,0,2.0,3.0,8.0,1,1,3.0,4.0,3,4.0,0,3.0,0.0,19.0,0.0,0.0,166.0,1
141,0,4.0,1.0,29.0,1,1,3.0,4.0,3,2.0,0,1.0,0.0,21.0,1.0,8.0,156.0,1
144,0,9.0,1.0,12.0,2,1,2.0,3.0,2,2.0,0,1.0,0.0,11.0,4.0,11.0,132.0,1
145,0,28.0,1.0,6.0,1,1,2.0,3.0,1,5.0,2,1.0,1.0,14.0,4.0,13.0,290.0,1
146,1,10.0,1.0,35.0,2,1,2.0,3.0,0,4.0,0,2.0,1.0,12.0,5.0,9.0,218.0,0
147,0,1.0,1.0,15.0,1,1,3.0,3.0,2,2.0,0,2.0,0.0,23.0,1.0,4.0,121.0,1
148,0,10.0,3.0,12.0,1,1,3.0,3.0,3,2.0,0,5.0,0.0,14.0,0.0,1.0,165.0,1
149,0,0.0,1.0,9.0,1,1,3.0,4.0,2,3.0,2,2.0,0.0,17.0,1.0,0.0,132.0,1
150,0,10.0,1.0,6.0,1,0,0.0,3.0,0,2.0,1,3.0,1.0,18.0,0.0,2.0,236.0,0
151,0,2.0,1.0,28.0,2,0,3.0,2.0,0,4.0,1,8.0,0.0,18.0,5.0,2.0,220.0,1
152,0,11.0,3.0,13.0,1,0,2.0,2.0,3,5.0,1,2.0,1.0,24.0,0.0,7.0,156.0,1
153,0,0.0,1.0,6.0,2,0,2.0,3.0,3,4.0,1,2.0,0.0,20.0,0.0,4.0,164.0,0
154,0,23.0,1.0,10.0,2,1,3.0,3.0,1,4.0,1,4.0,0.0,14.0,1.0,6.0,291.0,1
155,0,26.0,1.0,9.0,1,1,2.0,3.0,4,3.0,0,4.0,1.0,16.0,0.0,3.0,276.0,1
156,0,15.0,3.0,6.0,2,1,2.0,3.0,3,3.0,0,2.0,0.0,25.0,4.0,6.0,149.0,1
157,0,2.0,3.0,8.0,2,1,2.0,3.0,3,2.0,2,2.0,0.0,18.0,0.0,9.0,146.0,0
159,0,0.0,1.0,17.0,1,1,2.0,3.0,3,5.0,0,2.0,1.0,13.0,2.0,3.0,147.0,0
160,0,10.0,1.0,6.0,2,0,2.0,3.0,2,2.0,2,2.0,0.0,12.0,1.0,7.0,121.0,1
161,1,7.0,1.0,30.0,2,1,2.0,3.0,2,3.0,1,4.0,1.0,22.0,0.0,0.0,132.0,0
162,0,11.0,1.0,29.0,2,1,2.0,3.0,3,2.0,1,10.0,0.0,14.0,0.0,2.0,157.0,1
163,1,0.0,1.0,22.0,1,1,2.0,3.0,2,4.0,1,3.0,1.0,13.0,1.0,2.0,124.0,1
164,0,1.0,1.0,14.0,2,0,3.0,3.0,2,2.0,2,2.0,0.0,21.0,0.0,2.0,133.0,1
165,0,22.0,1.0,16.0,2,0,2.0,3.0,1,5.0,2,10.0,1.0,11.0,0.0,2.0,287.0,0
168,1,0.0,3.0,10.0,3,1,2.0,4.0,3,2.0,2,2.0,1.0,12.0,7.0,4.0,158.0,1
171,1,0.0,1.0,9.0,2,1,2.0,3.0,2,3.0,2,2.0,0.0,13.0,0.0,0.0,114.0,1
173,0,9.0,1.0,24.0,2,1,2.0,2.0,2,2.0,0,5.0,0.0,18.0,0.0,0.0,137.0,0
174,0,24.0,1.0,8.0,1,1,2.0,5.0,3,4.0,1,6.0,0.0,18.0,0.0,2.0,155.0,1
175,0,14.0,3.0,8.0,2,1,2.0,3.0,4,4.0,2,2.0,0.0,19.0,1.0,4.0,260.0,1
176,0,0.0,3.0,16.0,1,0,3.0,4.0,2,3.0,2,2.0,0.0,12.0,1.0,0.0,112.0,1
177,0,1.0,1.0,22.0,1,1,3.0,2.0,3,5.0,2,1.0,0.0,19.0,0.0,7.0,157.0,1
178,0,4.0,3.0,13.0,0,1,3.0,2.0,3,2.0,0,5.0,0.0,11.0,3.0,7.0,169.0,1
179,0,12.0,1.0,6.0,1,1,2.0,2.0,0,2.0,1,1.0,0.0,17.0,3.0,7.0,196.0,1
180,0,9.0,1.0,30.0,2,0,2.0,3.0,3,4.0,0,8.0,0.0,15.0,0.0,8.0,157.0,0
181,0,5.0,3.0,13.0,2,1,3.0,4.0,3,3.0,0,2.0,0.0,14.0,1.0,8.0,155.0,1
182,0,11.0,1.0,31.0,2,0,2.0,4.0,0,4.0,0,4.0,0.0,17.0,1.0,1.0,221.0,1
185,0,4.0,2.0,8.0,4,1,3.0,4.0,3,5.0,0,4.0,0.0,12.0,0.0,0.0,164.0,1
186,0,18.0,1.0,13.0,2,1,3.0,3.0,0,5.0,1,2.0,0.0,18.0,5.0,11.0,152.0,0
187,0,4.0,1.0,8.0,2,1,2.0,3.0,2,2.0,1,1.0,1.0,18.0,1.0,2.0,127.0,1
188,0,6.0,1.0,11.0,2,0,3.0,3.0,0,4.0,0,7.0,0.0,11.0,2.0,8.0,219.0,0
189,0,12.0,1.0,16.0,1,1,2.0,3.0,4,5.0,0,2.0,1.0,14.0,11.0,10.0,271.0,1
190,0,16.0,1.0,16.0,2,0,2.0,3.0,2,2.0,2,1.0,0.0,19.0,0.0,7.0,125.0,0
191,0,22.0,1.0,6.0,0,0,2.0,4.0,4,3.0,2,8.0,1.0,12.0,1.0,7.0,1813.0,1
192,1,15.0,1.0,14.0,1,1,2.0,4.0,3,4.0,0,3.0,0.0,15.0,7.0,7.0,149.0,1
193,0,0.0,1.0,11.0,2,0,2.0,3.0,2,4.0,2,2.0,1.0,12.0,0.0,2.0,125.0,1
194,0,5.0,3.0,14.0,0,0,3.0,4.0,3,4.0,0,2.0,1.0,11.0,6.0,9.0,152.0,1
195,0,0.0,3.0,8.0,2,1,3.0,3.0,3,3.0,2,2.0,1.0,11.0,1.0,4.0,145.0,1
196,0,4.0,3.0,13.0,3,1,3.0,3.0,3,2.0,1,5.0,0.0,12.0,0.0,7.0,175.0,1
197,0,5.0,1.0,8.0,1,0,3.0,2.0,3,2.0,2,8.0,0.0,16.0,1.0,7.0,151.0,1
198,1,0.0,1.0,8.0,1,1,2.0,5.0,2,2.0,0,6.0,1.0,13.0,2.0,2.0,135.0,1
200,0,4.0,1.0,13.0,2,0,2.0,4.0,0,3.0,0,2.0,0.0,24.0,3.0,9.0,189.0,0
202,1,2.0,3.0,9.0,1,0,2.0,3.0,3,3.0,0,5.0,1.0,18.0,1.0,0.0,152.0,1
203,0,6.0,3.0,16.0,3,1,2.0,4.0,3,2.0,2,4.0,0.0,14.0,1.0,1.0,147.0,0
204,0,20.0,1.0,11.0,2,1,2.0,3.0,1,3.0,0,5.0,0.0,11.0,0.0,1.0,283.0,1
205,0,99.0,1.0,16.0,2,0,2.0,4.0,3,3.0,1,2.0,0.0,11.0,0.0,0.0,153.0,0
209,0,18.0,1.0,14.0,4,1,3.0,3.0,3,2.0,0,10.0,0.0,14.0,7.0,8.0,137.0,1
210,0,13.0,3.0,6.0,1,1,2.0,5.0,3,2.0,0,3.0,1.0,22.0,1.0,2.0,175.0,1
211,1,0.0,1.0,14.0,4,1,3.0,5.0,2,5.0,0,2.0,1.0,11.0,1.0,7.0,121.0,1
212,0,2.0,1.0,15.0,4,1,1.0,4.0,2,2.0,2,1.0,0.0,17.0,2.0,2.0,140.0,1
213,0,3.0,3.0,11.0,3,0,1.0,4.0,3,3.0,1,2.0,0.0,13.0,0.0,2.0,161.0,1
214,0,0.0,3.0,14.0,3,0,2.0,3.0,3,4.0,0,2.0,0.0,18.0,0.0,7.0,162.0,1
217,0,4.0,1.0,13.0,1,0,2.0,3.0,0,2.0,2,2.0,1.0,14.0,2.0,10.0,171.0,1
218,0,2.0,3.0,16.0,3,0,2.0,4.0,3,4.0,1,2.0,1.0,14.0,0.0,7.0,183.0,1
220,0,0.0,1.0,32.0,2,1,2.0,3.0,2,2.0,1,2.0,0.0,12.0,1.0,2.0,129.0,1
221,0,14.0,1.0,12.0,1,1,3.0,4.0,3,4.0,2,7.0,1.0,15.0,1.0,2.0,160.0,1
222,0,20.0,3.0,10.0,1,1,2.0,3.0,3,3.0,2,4.0,0.0,19.0,0.0,0.0,130.0,0
223,0,15.0,1.0,29.0,2,0,2.0,3.0,4,2.0,2,3.0,0.0,14.0,0.0,0.0,260.0,1
225,0,15.0,2.0,8.0,0,1,2.0,3.0,2,3.0,1,1.0,1.0,11.0,1.0,0.0,127.0,1
226,0,5.0,1.0,8.0,1,0,3.0,3.0,2,4.0,0,2.0,0.0,13.0,0.0,7.0,1862.0,1
227,0,21.0,3.0,35.0,1,0,3.0,3.0,0,3.0,0,4.0,0.0,21.0,0.0,0.0,225.0,1
228,0,10.0,1.0,12.0,1,1,2.0,2.0,3,5.0,1,5.0,1.0,13.0,2.0,7.0,160.0,1
231,0,15.0,1.0,8.0,4,1,3.0,4.0,3,2.0,2,4.0,0.0,23.0,0.0,0.0,168.0,1
232,1,0.0,3.0,6.0,0,0,2.0,4.0,2,4.0,2,2.0,1.0,11.0,1.0,2.0,122.0,0
233,0,9.0,3.0,6.0,1,0,2.0,3.0,3,2.0,2,5.0,0.0,15.0,1.0,0.0,167.0,0
234,0,99.0,3.0,9.0,1,1,2.0,4.0,0,2.0,0,5.0,0.0,11.0,0.0,12.0,197.0,0
235,0,30.0,1.0,6.0,1,1,2.0,3.0,3,3.0,0,3.0,0.0,11.0,1.0,2.0,168.0,1
237,0,0.0,3.0,15.0,1,1,2.0,3.0,2,2.0,2,2.0,0.0,24.0,0.0,2.0,126.0,0
238,1,0.0,3.0,11.0,3,0,2.0,3.0,2,3.0,2,2.0,1.0,13.0,1.0,0.0,129.0,1
239,0,10.0,1.0,16.0,1,0,3.0,3.0,2,5.0,0,7.0,0.0,20.0,1.0,3.0,135.0,1
242,0,23.0,1.0,16.0,0,1,3.0,4.0,0,2.0,2,7.0,0.0,15.0,0.0,3.0,205.0,1
246,0,2.0,1.0,29.0,2,1,2.0,3.0,2,2.0,2,10.0,0.0,16.0,1.0,2.0,122.0,1
247,0,8.0,1.0,15.0,2,1,3.0,4.0,3,4.0,2,10.0,0.0,19.0,1.0,0.0,165.0,1
248,0,0.0,1.0,6.0,1,1,2.0,3.0,2,4.0,1,2.0,0.0,11.0,0.0,4.0,138.0,1
249,0,1.0,3.0,15.0,2,1,3.0,3.0,3,2.0,2,2.0,0.0,16.0,1.0,7.0,153.0,1
250,0,22.0,1.0,13.0,4,1,2.0,4.0,0,3.0,2,9.0,0.0,24.0,1.0,0.0,145.0,1
253,1,0.0,3.0,25.0,3,1,3.0,2.0,3,2.0,2,9.0,1.0,13.0,1.0,4.0,153.0,0
254,0,28.0,1.0,8.0,2,0,3.0,3.0,4,2.0,2,3.0,1.0,13.0,0.0,2.0,267.0,1
255,0,0.0,3.0,16.0,3,0,3.0,3.0,3,3.0,1,2.0,1.0,12.0,0.0,3.0,143.0,1
257,1,0.0,1.0,9.0,0,1,3.0,3.0,2,5.0,2,1.0,0.0,22.0,0.0,4.0,131.0,0
258,0,0.0,1.0,17.0,1,0,2.0,3.0,2,4.0,0,2.0,0.0,13.0,1.0,2.0,122.0,1
260,1,0.0,1.0,10.0,0,1,2.0,3.0,2,2.0,2,19.0,1.0,23.0,1.0,0.0,123.0,0
261,0,10.0,1.0,20.0,2,0,3.0,3.0,2,5.0,1,2.0,0.0,12.0,3.0,17.0,130.0,1
262,0,13.0,3.0,8.0,3,0,2.0,3.0,3,4.0,1,8.0,0.0,12.0,0.0,3.0,157.0,1
263,0,15.0,1.0,6.0,2,0,3.0,3.0,2,5.0,1,4.0,0.0,16.0,1.0,2.0,126.0,1
264,0,10.0,1.0,16.0,2,1,2.0,3.0,3,4.0,2,3.0,1.0,12.0,0.0,1.0,142.0,1
265,0,16.0,1.0,18.0,2,1,2.0,4.0,4,4.0,1,2.0,0.0,11.0,0.0,9.0,243.0,1
266,0,13.0,1.0,8.0,1,0,3.0,4.0,3,3.0,0,7.0,0.0,22.0,1.0,0.0,134.0,1
267,0,27.0,1.0,11.0,1,1,2.0,3.0,1,5.0,0,5.0,0.0,11.0,1.0,2.0,294.0,1
268,0,7.0,3.0,10.0,3,0,3.0,3.0,3,3.0,0,10.0,0.0,15.0,1.0,2.0,165.0,0
269,0,4.0,1.0,13.0,1,0,2.0,3.0,3,5.0,0,2.0,0.0,12.0,3.0,12.0,143.0,1
270,0,16.0,1.0,27.0,1,1,3.0,3.0,2,2.0,0,139.0,0.0,20.0,0.0,2.0,123.0,0
271,0,16.0,1.0,14.0,4,0,3.0,3.0,3,3.0,1,5.0,1.0,14.0,0.0,2.0,145.0,1
272,0,0.0,3.0,10.0,2,0,2.0,4.0,3,2.0,2,2.0,1.0,11.0,0.0,3.0,145.0,1
274,0,4.0,1.0,6.0,2,1,3.0,4.0,2,5.0,0,2.0,0.0,12.0,0.0,2.0,122.0,1
275,0,12.0,1.0,6.0,2,1,2.0,3.0,1,3.0,1,2.0,1.0,14.0,0.0,6.0,292.0,0
276,0,29.0,3.0,12.0,2,0,2.0,2.0,4,5.0,0,10.0,0.0,11.0,2.0,7.0,1982.0,0
278,0,14.0,3.0,6.0,3,1,2.0,2.0,0,5.0,0,2.0,0.0,16.0,1.0,7.0,184.0,1
279,0,1.0,1.0,23.0,1,1,3.0,3.0,3,5.0,1,2.0,0.0,12.0,0.0,8.0,146.0,1
280,1,0.0,1.0,9.0,1,1,3.0,3.0,2,5.0,0,6.0,0.0,13.0,1.0,2.0,140.0,1
281,0,25.0,1.0,9.0,1,1,2.0,4.0,0,3.0,0,3.0,1.0,14.0,0.0,4.0,180.0,1
284,0,15.0,1.0,35.0,2,0,3.0,3.0,3,3.0,1,3.0,0.0,11.0,1.0,2.0,146.0,0
285,0,3.0,1.0,8.0,2,0,2.0,5.0,3,2.0,2,3.0,0.0,20.0,0.0,2.0,161.0,1
286,0,30.0,1.0,13.0,2,0,2.0,3.0,1,5.0,0,6.0,0.0,11.0,0.0,10.0,296.0,1
287,0,19.0,1.0,24.0,1,0,2.0,3.0,3,3.0,1,3.0,0.0,14.0,0.0,8.0,148.0,1
288,0,15.0,1.0,34.0,0,0,2.0,4.0,3,2.0,0,1.0,0.0,11.0,0.0,4.0,145.0,0
289,1,0.0,3.0,6.0,0,0,3.0,3.0,2,4.0,2,2.0,1.0,16.0,1.0,4.0,132.0,1
292,0,13.0,3.0,8.0,2,0,3.0,3.0,1,3.0,0,1.0,0.0,14.0,0.0,12.0,280.0,1
